"SalesOrderID","SalesOrderDetailID","OrderQty","ProductID","UnitPrice","LineTotal"
43659,1,1,776,2024.994,2024.994
43659,2,3,777,2024.994,6074.982
43659,3,1,778,2024.994,2024.994
43659,4,1,771,2039.994,2039.994
43659,5,1,772,2039.994,2039.994
43659,6,2,773,2039.994,4079.988
43659,7,1,774,2039.994,2039.994
43659,8,3,714,28.8404,86.5212
43659,9,1,716,28.8404,28.8404
43659,10,6,709,5.7,34.2
43659,11,2,712,5.1865,10.373
43659,12,4,711,20.1865,80.746
43662,30,3,764,419.4589,1258.3767
43662,31,5,770,419.4589,2097.2945
43662,32,2,730,183.9382,367.8764
43662,33,4,754,874.794,3499.176
43662,34,3,725,183.9382,551.8146
43662,35,5,762,419.4589,2097.2945
43662,36,3,765,419.4589,1258.3767
43662,37,2,768,419.4589,838.9178
43662,38,1,753,2146.962,2146.962
43662,39,1,756,874.794,874.794
43662,40,3,763,419.4589,1258.3767
43662,41,1,732,356.898,356.898
43662,42,6,758,874.794,5248.764
43662,43,1,729,183.9382,183.9382
43662,44,3,722,178.5808,535.7424
43662,45,1,749,2146.962,2146.962
43662,46,3,760,419.4589,1258.3767
43662,47,1,726,183.9382,183.9382
43662,48,1,733,356.898,356.898
43662,49,1,738,178.5808,178.5808
43662,50,3,766,419.4589,1258.3767
43662,51,1,755,874.794,874.794
43668,81,3,756,874.794,2624.382
43668,82,2,753,2146.962,4293.924
43668,83,7,760,419.4589,2936.2123
43668,84,6,765,419.4589,2516.7534
43668,85,6,715,28.8404,173.0424
43668,86,6,730,183.9382,1103.6292
43668,87,2,707,20.1865,40.373
43668,88,2,711,20.1865,40.373
43668,89,2,754,874.794,1749.588
43668,90,4,712,5.1865,20.746
43668,91,2,729,183.9382,367.8764
43668,92,3,755,874.794,2624.382
43668,93,3,761,419.4589,1258.3767
43668,94,2,770,419.4589,838.9178
43668,95,3,726,183.9382,551.8146
43668,96,2,764,419.4589,838.9178
43668,97,2,766,419.4589,838.9178
43668,98,2,725,183.9382,367.8764
43668,99,1,716,28.8404,28.8404
43668,100,2,768,419.4589,838.9178
43668,101,4,732,356.898,1427.592
43668,102,6,758,874.794,5248.764
43668,103,4,762,419.4589,1677.8356
43668,104,3,738,178.5808,535.7424
43668,105,4,714,28.8404,115.3616
43668,106,3,722,178.5808,535.7424
43668,107,1,708,20.1865,20.1865
43668,108,3,733,356.898,1070.694
43668,109,3,763,419.4589,1258.3767
43680,189,3,760,419.4589,1258.3767
43680,190,2,756,874.794,1749.588
43680,191,2,738,178.5808,357.1616
43680,192,4,707,20.1865,80.746
43680,193,1,729,183.9382,183.9382
43680,194,1,711,20.1865,20.1865
43680,195,2,715,28.8404,57.6808
43680,196,2,725,183.9382,367.8764
43680,197,1,758,874.794,874.794
43680,198,1,761,419.4589,419.4589
43680,199,2,753,2146.962,4293.924
43680,200,2,708,20.1865,40.373
43680,201,3,765,419.4589,1258.3767
43680,202,3,712,5.1865,15.5595
43680,203,1,763,419.4589,419.4589
43681,204,6,715,28.8404,173.0424
43681,205,5,762,419.4589,2097.2945
43681,206,1,732,356.898,356.898
43681,207,1,707,20.1865,20.1865
43681,208,1,729,183.9382,183.9382
43681,209,2,708,20.1865,40.373
